Fecha, duracion , duracion.mod 
1/2/2015, 4.25 , 4.03 
1/9/2015, 4.32 , 4.10 
1/16/2015, 4.34 , 4.13 
1/23/2015, 4.33 , 4.12 
1/30/2015, 4.32 , 4.11 
2/6/2015, 4.72 , 4.49 
2/13/2015, 4.73 , 4.49 
2/20/2015, 4.71 , 4.47 
3/6/2015, 4.55 , 4.33 
3/13/2015, 4.53 , 4.30 
3/20/2015, 4.52 , 4.29 
3/27/2015, 4.51 , 4.28 
6/5/2015, 4.47 , 4.26 
6/12/2015, 4.45 , 4.24 
6/19/2015, 4.43 , 4.22 
6/26/2015, 4.41 , 4.20 
7/17/2015, 4.14 , 3.98 
7/24/2015, 4.13 , 3.98 
8/31/2015, 4.08 , 3.89 
9/4/2015, 4.06 , 3.87 
9/18/2015, 4.02 , 3.83 
10/2/2015, 4.10 , 3.91 
10/9/2015, 4.10 , 3.90 
10/16/2015, 4.08 , 3.89 
10/23/2015, 4.06 , 3.86 
10/30/2015, 4.04 , 3.84 
11/6/2015, 4.19 , 3.98 
11/13/2015, 4.19 , 3.98 
11/20/2015, 4.15 , 3.94 
11/27/2015, 4.14 , 3.93 
12/4/2015, 4.26 , 4.05 
12/11/2015, 4.23 , 4.02 
12/18/2015, 4.22 , 4.01 
12/24/2015, 4.21 , 4.01 
12/31/2015, 4.43 , 4.21 
1/8/2016, 4.47 , 4.24 
1/15/2016, 4.49 , 4.26 
1/22/2016, 4.49 , 4.27 
1/29/2016, 4.47 , 4.25 
2/5/2016, 4.70 , 4.47 
2/12/2016, 4.68 , 4.45 
2/19/2016, 4.65 , 4.42 
2/26/2016, 4.64 , 4.40 
3/4/2016, 4.71 , 4.47 
3/11/2016, 4.72 , 4.48 
3/18/2016, 4.71 , 4.48 
3/24/2016, 4.70 , 4.46 
4/1/2016, 4.65 , 4.42 
4/8/2016, 4.65 , 4.42 
4/15/2016, 4.65 , 4.43 
4/22/2016, 4.63 , 4.41 
4/29/2016, 4.61 , 4.39 
5/6/2016, 4.62 , 4.40 
5/13/2016, 4.62 , 4.40 
5/20/2016, 4.60 , 4.38 
5/27/2016, 4.58 , 4.36 
6/3/2016, 4.41 , 4.20 
6/10/2016, 4.41 , 4.20 
6/17/2016, 4.39 , 4.18 
6/24/2016, 4.36 , 4.15 
7/1/2016, 4.47 , 4.25 
7/8/2016, 4.51 , 4.29 
7/15/2016, 4.53 , 4.31 
7/22/2016, 4.52 , 4.30 
7/29/2016, 4.51 , 4.28 
8/5/2016, 4.62 , 4.39 
8/12/2016, 4.60 , 4.37 
8/19/2016, 4.58 , 4.35 
8/26/2016, 4.56 , 4.34 
9/2/2016, 4.80 , 4.56 
9/9/2016, 4.80 , 4.56 
9/16/2016, 4.77 , 4.53 
9/23/2016, 4.75 , 4.51 
9/30/2016, 4.76 , 4.52 
10/7/2016, 4.66 , 4.43 
10/14/2016, 4.65 , 4.42 
10/21/2016, 4.63 , 4.41 
10/28/2016, 4.61 , 4.38 
11/4/2016, 4.56 , 4.33 
11/11/2016, 4.58 , 4.35 
11/18/2016, 4.55 , 4.33 
11/25/2016, 4.55 , 4.33 
12/2/2016, 4.54 , 4.31 
12/9/2016, 4.54 , 4.32 
12/16/2016, 4.53 , 4.30 
12/23/2016, 4.53 , 4.31 
12/30/2016, 4.51 , 4.29 
1/6/2017, 4.65 , 4.43 
1/13/2017, 4.63 , 4.41 
1/20/2017, 4.65 , 4.44 
1/27/2017, 4.63 , 4.42 
2/3/2017, 4.57 , 4.36 
2/10/2017, 4.55 , 4.35 
2/17/2017, 4.54 , 4.33 
2/24/2017, 4.52 , 4.32 
3/3/2017, 4.59 , 4.39 
3/10/2017, 4.58 , 4.37 
3/17/2017, 4.59 , 4.36 
3/24/2017, 4.57 , 4.34 
4/7/2017, 4.70 , 4.45 
4/13/2017, 4.68 , 4.43 
4/21/2017, 4.66 , 4.43 
4/28/2017, 4.65 , 4.42 
5/5/2017, 4.74 , 4.50 
5/12/2017, 4.75 , 4.51 
5/19/2017, 4.73 , 4.50 
5/26/2017, 4.71 , 4.48 
6/2/2017, 4.80 , 4.56 
6/9/2017, 4.80 , 4.56 
6/16/2017, 4.78 , 4.54 
6/23/2017, 4.77 , 4.53 
6/30/2017, 4.76 , 4.52 
7/7/2017, 4.72 , 4.48 
7/14/2017, 4.72 , 4.48 
7/21/2017, 4.72 , 4.48 
7/28/2017, 4.70 , 4.47 
8/4/2017, 4.71 , 4.48 
8/11/2017, 4.73 , 4.50 
8/18/2017, 4.71 , 4.48 
8/25/2017, 4.70 , 4.47 
9/1/2017, 4.68 , 4.45 
9/8/2017, 4.69 , 4.46 
9/15/2017, 4.68 , 4.45 
9/22/2017, 4.66 , 4.43 
9/29/2017, 4.64 , 4.42 
10/6/2017, 4.64 , 4.41 
10/13/2017, 4.62 , 4.40 
10/20/2017, 4.61 , 4.40 
10/27/2017, 4.59 , 4.38 
11/3/2017, 5.56 , 5.31 
11/10/2017, 5.63 , 5.38 
11/17/2017, 5.61 , 5.37 
11/24/2017, 5.61 , 5.37 
12/4/2017, 6.14 , 5.88 
12/15/2017, 6.10 , 5.83 
12/22/2017, 6.08 , 5.81 
12/29/2017, 6.05 , 5.78 
1/5/2018, 5.31 , 5.07 
1/12/2018, 5.33 , 5.10 
1/19/2018, 5.33 , 5.10 
1/26/2018, 5.31 , 5.08 
