"","Q025.estres","Q025.incremento","Q025.sin_cambio","Q025.reduccion"
"2023-04-13",-0.129093039381681,-0.117379537081214,-0.037013142146244,-0.0274687168728597
"2023-04-14",-0.13319905030087,-0.121540772921689,-0.0414716574213,-0.0320538496692927
"2023-04-18",-0.13373967065046,-0.122088664493114,-0.0423906093093066,-0.0326575538834584
"2023-04-19",-0.130701168737979,-0.119009295414849,-0.0389347347875308,-0.0292644955002392
"2023-04-20",-0.132270397400564,-0.120599629849211,-0.0401366781478445,-0.0310168341928373
"2023-04-21",-0.127991298185655,-0.116262977714456,-0.0363032549535556,-0.0262384157873291
"2023-04-25",-0.12087072899071,-0.109046638468957,-0.0284126460594206,-0.0182869621775891
"2023-04-26",-0.129163961901431,-0.117451413492867,-0.0373815198670614,-0.0275479151939824
"2023-04-27",-0.128749178736401,-0.117031051587768,-0.0366219469384405,-0.0270847318438113
"2023-04-28",-0.136380734130689,-0.124765249681804,-0.0452365355446069,-0.0356067975700901
"2023-05-02",-0.138298896032613,-0.126709210428917,-0.0477524210692004,-0.0377487857962487
"2023-05-03",-0.137628240449766,-0.126029534679659,-0.0465170989087181,-0.0369998728078162
"2023-05-04",-0.144252280435701,-0.132742666510214,-0.0542790206507412,-0.0443968582474933
"2023-05-05",-0.151280164108041,-0.139865073633722,-0.0622739831216899,-0.0522448110536999
"2023-05-09",-0.145531437626773,-0.134039028077159,-0.0556456586222873,-0.0458252776316622
"2023-05-10",-0.136977868089939,-0.1253704149582,-0.0467085311268824,-0.036273609849528
"2023-05-11",-0.144285238751055,-0.13277606810748,-0.05429450795973,-0.0444336624001419
"2023-05-12",-0.140491222651716,-0.128931023346852,-0.0502916078830944,-0.0401969304504103
"2023-05-16",-0.140533072945366,-0.128973436517518,-0.0505323899846059,-0.0402436641678148
"2023-05-17",-0.143901521615993,-0.132387190063449,-0.0537479840920931,-0.0440051701103854
"2023-05-18",-0.146222591620166,-0.134739477935963,-0.0560033896496591,-0.0465970809475481
"2023-05-19",-0.144742006444173,-0.133238979223106,-0.0540774138643669,-0.0449437293656914
"2023-05-23",-0.147039301796464,-0.135567172680029,-0.0568801172556868,-0.047509091336274
"2023-05-24",-0.14443017632015,-0.132922955054208,-0.0538579270334306,-0.0445955124328311
"2023-05-25",-0.140503096052803,-0.128943056442507,-0.0503189166870135,-0.0402101893339833
"2023-05-26",-0.137294527326791,-0.125691333190406,-0.0456481377614703,-0.0366272193943538
"2023-05-30",-0.136941419010976,-0.125333475647341,-0.0452506388092438,-0.0362329076033229
"2023-05-31",-0.135584431843395,-0.123958237308248,-0.0444531419838886,-0.0347175764245047
"2023-06-01",-0.133736377415758,-0.122085326965148,-0.0422128046237272,-0.0326538763680456
"2023-06-02",-0.135007101183695,-0.123373141681317,-0.0431891215436375,-0.0340728782504679
"2023-06-06",-0.145366045277322,-0.13387141123789,-0.0549026492296552,-0.0456405859928253
"2023-06-07",-0.149303524158802,-0.13786184832274,-0.0592499407151125,-0.0500375210984693
"2023-06-09",-0.146735997024548,-0.135259788527302,-0.0561771866067438,-0.0471703945611328
"2023-06-14",-0.157240672083451,-0.145905749097783,-0.0680119903198209,-0.0589008383121103
"2023-06-15",-0.156893076651497,-0.145553478585624,-0.0672380643260523,-0.0585126826918962
"2023-06-16",-0.151856217890806,-0.140448875210011,-0.0618319191739016,-0.0528880833546868
"2023-06-20",-0.157594660847558,-0.146264498930972,-0.0684651583654298,-0.0592961332891141
"2023-06-21",-0.158664098823121,-0.147348320606233,-0.0694950730566171,-0.0604903617585484
"2023-06-22",-0.166960306108495,-0.155756110009464,-0.0789612642323718,-0.0697546362231878
"2023-06-23",-0.159166932362103,-0.147857917142965,-0.0700122235469625,-0.0610518698977391
"2023-06-27",-0.162620727404113,-0.151358164949736,-0.0739468632931001,-0.0649086811023245
"2023-06-28",-0.163320549832521,-0.152067399832052,-0.0747843291601261,-0.0656901643548847
"2023-06-29",-0.157520398809984,-0.146189238085732,-0.0683122989080954,-0.0592132057687749
"2023-06-30",-0.160538635732032,-0.149248069614011,-0.0715473806515732,-0.062583634481961
"2023-07-04",-0.155704578789565,-0.14434899569536,-0.0656776132928119,-0.057185501485493
"2023-07-05",-0.152060458274372,-0.140655862580696,-0.0623077083520448,-0.0531161561239696
"2023-07-06",-0.159868188136422,-0.148568604649372,-0.0702845790338005,-0.0618349537503647
"2023-07-07",-0.159951896901732,-0.148653439278706,-0.0709209241160192,-0.0619284303174575
"2023-07-11",-0.16180838857966,-0.150534900351212,-0.0724321572262966,-0.064001552149402
"2023-07-12",-0.163914851641114,-0.152669694866003,-0.0756261847179419,-0.0663538140058931
"2023-07-13",-0.160599748909263,-0.149310004749699,-0.071076191966197,-0.0626518788287809
"2023-07-14",-0.155843460097915,-0.144489744926002,-0.0658126363394209,-0.057645330142411
"2023-07-18",-0.149661850730179,-0.138224994305728,-0.0589717471376451,-0.049675580056349
"2023-07-19",-0.147798192002175,-0.136336269787938,-0.0569093258311896,-0.0476254696522902
"2023-07-20",-0.144314143336714,-0.132805361453301,-0.0530536970659027,-0.0438438332089455
"2023-07-21",-0.13550192685495,-0.123874622646307,-0.0433016417373254,-0.0327771928420206
"2023-07-25",-0.136032479766752,-0.124412311375176,-0.0438887790780091,-0.0334107857370232
"2023-07-26",-0.130485082566102,-0.118790302932671,-0.0377497419195046,-0.0264793070570994
"2023-07-27",-0.124127564864714,-0.112347278051311,-0.0307141834417199,-0.0192702510392373
"2023-07-28",-0.121646882482866,-0.109833231050623,-0.0279689317913019,-0.0171897185643467
"2023-08-01",-0.12518477497994,-0.11341870740427,-0.0318841469303555,-0.021000625363169
"2023-08-02",-0.121257380096299,-0.109438489944758,-0.0275378882698143,-0.0160733196653979
"2023-08-03",-0.120042017295921,-0.108206780788682,-0.0261929048257387,-0.0147231612927058
"2023-08-04",-0.115711174909475,-0.103817689548397,-0.0214001702555693,-0.0093102102977245
"2023-08-08",-0.106387031812537,-0.094368138828653,-0.0110815904112036,0.00146991807554042
"2023-08-09",-0.11157623249047,-0.0996271330859552,-0.0168242287391452,-0.00585941604840934
"2023-08-10",-0.111200720961362,-0.0992465710114284,-0.0164086682254019,-0.00514796675091211
"2023-08-11",-0.11677292124122,-0.104893716128965,-0.0225751537564299,-0.0121642025261388
"2023-08-15",-0.120871949846355,-0.109047875744835,-0.0271113511856937,-0.017399924043365
"2023-08-17",-0.122478651105329,-0.110676186773561,-0.0288894100436941,-0.0202811424888754
"2023-08-18",-0.111349618424565,-0.0993974711119473,-0.0165734458727109,-0.00834694870449393
"2023-08-22",-0.110835732635636,-0.098876673674997,-0.0160047532337386,-0.00706861923476898
"2023-08-24",-0.109245011697429,-0.0972645578987507,-0.0142443790266559,-0.00495857166020253
"2023-08-25",-0.113052271705891,-0.101123024696094,-0.0184576902100154,-0.00960354414253139
"2023-08-29",-0.107684778306573,-0.0956833397204959,-0.0125177439190637,-0.00400995463341858
"2023-08-30",-0.114108822224966,-0.102193785581484,-0.0196269237553766,-0.0121298502966768
"2023-08-31",-0.111971486253795,-0.100027702923299,-0.0172616370321382,-0.00960575986874468
"2023-09-01",-0.110973786239052,-0.099016584068259,-0.0161575305039758,-0.00870791509226732
"2023-09-05",-0.11548025333482,-0.103583662130617,-0.0211446204767753,-0.0136385041381318
"2023-09-06",-0.113724073847425,-0.101803862424995,-0.0192011412665867,-0.0120634500863643
"2023-09-07",-0.113576728132849,-0.101654534943772,-0.0190380808647057,-0.0113263716481166
"2023-09-08",-0.110502404505573,-0.0985388623567238,-0.0156358750549436,-0.00762781802197221
"2023-09-12",-0.106410204789959,-0.0943916234773978,-0.0111072348286343,-0.00412289829873802
"2023-09-13",-0.102889382733712,-0.0908234471581577,-0.00763068714680881,-0.000199055296303929
"2023-09-14",-0.10660004276254,-0.0945840147279168,-0.0115458449516592,-0.004334466616707
"2023-09-15",-0.107228274097742,-0.0952206956329619,-0.0131447425255709,-0.00503461024486063
"2023-09-19",-0.114081668969652,-0.102166267121006,-0.0200801629442744,-0.0126724985224982
"2023-09-20",-0.114768920851071,-0.10286276238531,-0.0202318945273176,-0.0134384186521541
"2023-09-21",-0.113225341506152,-0.101298422246155,-0.0186570730137828,-0.0117181490916644
"2023-09-22",-0.112920990060972,-0.100989977342645,-0.0187958498469051,-0.0113789591895991
"2023-09-26",-0.111157181640315,-0.0992024460963273,-0.0170419710822818,-0.00941325140361438
"2023-09-27",-0.107483678029442,-0.0954795346899701,-0.0128197091109654,-0.00531924971660469
"2023-09-29",-0.109616028019298,-0.0976405643065149,-0.015482663814875,-0.00769568523443764
"2023-10-03",-0.114306099278325,-0.10239371596674,-0.020842990350105,-0.0129226188870474
"2023-10-04",-0.110846872213244,-0.0988879630774122,-0.0168077951809116,-0.00906742152225437
